name,description,short_description,price,original_price,sku,stock_quantity,category_id,brand_id,images,features,specifications,is_active,is_featured,weight,dimensions
"Staedtler Colored Pencils","Professional colored pencils set","Premium art colored pencils",19.99,24.99,"STAED-COLOR-36-030",80,"","","{https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500}","{36 colors,Break-resistant leads,Rich pigments,Hexagonal shape}","{""quantity"": ""36 pencils"", ""lead_type"": ""Colored wax"", ""shape"": ""Hexagonal"", ""age_range"": ""6+ years""}",true,false,0.6,"{""width"": 19.5, ""height"": 20.8, ""depth"": 2.3}"
"Sharpie Permanent Markers","Fine point black permanent markers","Professional permanent markers",12.99,14.99,"SHARP-PERM-12PK-031",120,"","","{https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500}","{Permanent ink,Fine point,Quick-drying,Fade resistant}","{""tip_type"": ""Fine point"", ""ink_color"": ""Black"", ""quantity"": ""12 markers"", ""cap_type"": ""Snap-on""}",true,false,0.35,"{""width"": 15.2, ""height"": 20.3, ""depth"": 3.8}"
"Five Minute Journal","Daily gratitude and mindfulness journal","Guided gratitude journal",28.95,32.95,"5MIN-JOURNAL-V2-032",60,"","","{https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=500}","{Daily prompts,Gratitude focus,Morning & evening,Mindfulness quotes}","{""duration"": ""6 months"", ""format"": ""Guided prompts"", ""size"": ""5.5x8.5 inches"", ""binding"": ""Hardcover""}",true,true,0.5,"{""width"": 14.0, ""height"": 21.6, ""depth"": 2.2}"
"LEGO Creator Expert Car","Advanced building set for car enthusiasts","Detailed LEGO sports car model",149.99,169.99,"LEGO-CREATOR-CAR-033",35,"","","{https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=500}","{1400+ pieces,Working steering,Opening doors,Display stand}","{""pieces"": ""1407"", ""age_range"": ""16+ years"", ""dimensions_built"": ""35x16x10 cm"", ""difficulty"": ""Advanced""}",true,true,2.1,"{""width"": 48.0, ""height"": 37.8, ""depth"": 9.4}"
"Barbie Dreamhouse","Multi-story dollhouse with furniture","Large Barbie dollhouse playset",199.99,229.99,"BARBIE-DREAM-2024-034",20,"","","{https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=500}","{3 stories,8 rooms,70+ accessories,Working elevator}","{""stories"": ""3"", ""rooms"": ""8"", ""accessories"": ""70+"", ""age_range"": ""3-12 years""}",true,false,8.6,"{""width"": 91.4, ""height"": 119.4, ""depth"": 30.5}"
"Hot Wheels Track Set","Racing track with loop and launcher","Action-packed car racing track",39.99,44.99,"HOTWHEELS-TRACK-L-035",50,"","","{https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=500}","{360째 loop,Motorized launcher,Includes 2 cars,Connectable tracks}","{""track_length"": ""12 feet"", ""loop_diameter"": ""12 inches"", ""cars_included"": ""2"", ""age_range"": ""4+ years""}",true,true,1.8,"{""width"": 61.0, ""height"": 30.5, ""depth"": 45.7}"
"Play-Doh Creative Set","Modeling compound with tools","Colorful modeling clay set",24.99,27.99,"PLAYDOH-CREATE-20-036",70,"","","{https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=500}","{20 colors,Non-toxic,Reusable,Creative tools included}","{""colors"": ""20"", ""weight_per_can"": ""2 oz"", ""tools_included"": ""10"", ""age_range"": ""3+ years""}",true,false,1.5,"{""width"": 30.5, ""height"": 22.9, ""depth"": 7.6}"
"Melissa & Doug Puzzles","Educational wooden jigsaw puzzles","Learning puzzles for toddlers",16.99,19.99,"MELISS-PUZZLE-4PK-037",90,"","","{https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=500}","{Wooden pieces,Educational themes,Chunky pieces,4 puzzles included}","{""puzzles_included"": ""4"", ""pieces_per_puzzle"": ""12"", ""material"": ""Wood"", ""age_range"": ""2-4 years""}",true,false,0.8,"{""width"": 30.5, ""height"": 22.9, ""depth"": 3.8}"
"Fisher-Price Rock-a-Stack","Classic stacking rings toy for babies","Colorful baby stacking toy",9.99,11.99,"FISHER-STACK-ROCK-038",100,"","","{https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=500}","{5 colorful rings,Rocking base,Develops motor skills,BPA-free}","{""rings"": ""5"", ""material"": ""BPA-free plastic"", ""skills"": ""Hand-eye coordination"", ""age_range"": ""6+ months""}",true,true,0.4,"{""width"": 15.2, ""height"": 25.4, ""depth"": 15.2}"
"Miracle-Gro Potting Mix","Premium potting soil for container plants","All-purpose potting soil",12.99,14.99,"MIRAC-POT-MIX-16QT-039",80,"","","{https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=500}","{Feeds up to 6 months,Improved drainage,All-purpose,Ready to use}","{""volume"": ""16 quarts"", ""feed_duration"": ""6 months"", ""type"": ""All-purpose"", ""drainage"": ""Enhanced""}",true,false,5.4,"{""width"": 45.7, ""height"": 30.5, ""depth"": 12.7}"
"Scotts Turf Builder","Lawn fertilizer for thick green grass","Premium lawn fertilizer",24.99,29.99,"SCOTTS-TURF-15LB-040",40,"","","{https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=500}","{Feeds & strengthens,Builds thick lawn,All grass types,Covers 5000 sq ft}","{""weight"": ""15 lbs"", ""coverage"": ""5,000 sq ft"", ""application"": ""Spring/Fall"", ""formula"": ""32-0-4""}",true,false,6.8,"{""width"": 35.6, ""height"": 50.8, ""depth"": 10.2}"
"Roundup Weed Killer","Fast-acting weed and grass killer","Effective weed control spray",19.99,22.99,"ROUNDUP-SPRAY-1GAL-041",60,"","","{https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=500}","{Kills to the root,Visible results in 3 hours,Rainproof in 30 minutes,Ready-to-use}","{""volume"": ""1 gallon"", ""active_ingredient"": ""Glyphosate"", ""coverage"": ""400 sq ft"", ""rainproof_time"": ""30 minutes""}",true,false,3.8,"{""width"": 15.2, ""height"": 27.9, ""depth"": 10.2}"
"Black & Decker Trimmer","Electric string trimmer for yard work","Lightweight electric grass trimmer",89.99,99.99,"BD-TRIM-ELEC-20V-042",25,"","","{https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=500}","{20V battery,Lightweight design,Adjustable height,Edge guide wheel}","{""power"": ""20V lithium"", ""cutting_width"": ""12 inches"", ""weight"": ""5.5 lbs"", ""battery_life"": ""45 minutes""}",true,false,2.5,"{""width"": 45.7, ""height"": 121.9, ""depth"": 15.2}"
"Cuisinart Coffee Maker","12-cup programmable coffee maker","Automatic drip coffee machine",79.99,89.99,"CUISIN-COFFEE-12CUP-043",30,"","","{https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=500}","{12-cup capacity,Programmable,Auto shut-off,Brew strength control}","{""capacity"": ""12 cups"", ""type"": ""Drip coffee"", ""material"": ""Stainless steel"", ""warranty"": ""3 years""}",true,true,4.5,"{""width"": 21.6, ""height"": 35.6, ""depth"": 24.1}"
"KitchenAid Stand Mixer","5-quart tilt-head stand mixer","Professional kitchen mixer",299.99,349.99,"KITCHEN-MIXER-5QT-044",15,"","","{https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=500}","{5-quart bowl,10 speeds,Tilt-head design,Multiple attachments}","{""capacity"": ""5 quarts"", ""speeds"": ""10"", ""motor"": ""325 watts"", ""attachments"": ""3 included""}",true,true,11.3,"{""width"": 35.3, ""height"": 35.1, ""depth"": 22.1}"
"Ninja Blender","High-speed personal blender","Professional blender system",149.99,179.99,"NINJA-BLEND-1500W-045",20,"","","{https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=500}","{1500W motor,Multiple cups,Pulse technology,Easy cleanup}","{""power"": ""1500 watts"", ""cups_included"": ""3"", ""blade_type"": ""Pro Extractor"", ""dishwasher_safe"": true}",true,false,8.8,"{""width"": 16.5, ""height"": 40.6, ""depth"": 18.4}"
"Instant Pot Duo","7-in-1 electric pressure cooker","Multi-use pressure cooker",99.99,119.99,"INSTANT-POT-DUO-6QT-046",35,"","","{https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=500}","{7-in-1 functionality,6-quart capacity,Smart programs,Stainless steel}","{""capacity"": ""6 quarts"", ""functions"": ""7"", ""programs"": ""14 smart"", ""material"": ""Stainless steel inner pot""}",true,true,5.8,"{""width"": 32.5, ""height"": 31.5, ""depth"": 32.5}"
"Hamilton Beach Toaster","4-slice extra wide slot toaster","Stainless steel toaster",39.99,49.99,"HAMILTON-TOAST-4SL-047",50,"","","{https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=500}","{4 extra-wide slots,7 browning levels,Bagel function,Cancel button}","{""slots"": ""4 extra-wide"", ""browning_levels"": ""7"", ""functions"": ""Toast, Bagel, Cancel"", ""cord_storage"": true}",true,false,3.2,"{""width"": 27.9, ""height"": 20.3, ""depth"": 29.2}"
"Oster Air Fryer","Digital air fryer with presets","Countertop air fryer",89.99,109.99,"OSTER-AIRFRY-6QT-048",25,"","","{https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=500}","{6-quart capacity,Digital controls,8 presets,Non-stick basket}","{""capacity"": ""6 quarts"", ""presets"": ""8"", ""temperature_range"": ""170-400째F"", ""timer"": ""60 minutes max""}",true,true,8.6,"{""width"": 30.5, ""height"": 33.0, ""depth"": 38.1}"
"Samsung 65 4K Smart TV","Crystal clear 4K resolution with smart features","65-inch 4K Smart TV",799.99,899.99,"SAM-TV65-4K-2024-049",8,"","","{https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=500}","{4K UHD resolution,Smart TV platform,HDR support,Voice control}","{""screen_size"": ""65 inch"", ""resolution"": ""3840x2160"", ""smart_platform"": ""Tizen"", ""hdmi_ports"": 4}",true,true,21.8,"{""width"": 1449.1, ""height"": 829.5, ""depth"": 59.9}"
"Google Pixel 8 Pro","AI-powered photography and pure Android experience","Google's flagship with advanced AI",899.99,999.99,"GOOGLE-P8P-128-050",22,"","","{https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500}","{Google Tensor G3,AI photography,Pure Android,7 years updates}","{""storage"": ""128GB"", ""display"": ""6.7 inch"", ""camera"": ""50MP"", ""battery"": ""5050mAh""}",true,false,0.213,"{""width"": 76.5, ""height"": 162.6, ""depth"": 8.8}"
"HP Spectre x360","Premium 2-in-1 convertible laptop","Versatile convertible with premium design",1199.99,1299.99,"HP-SPECX360-14-051",10,"","","{https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500}","{360-degree hinge,OLED display option,Premium materials,Long battery life}","{""processor"": ""Intel Core i7"", ""memory"": ""16GB"", ""storage"": ""512GB SSD"", ""display"": ""14 inch""}",true,false,1.36,"{""width"": 312.6, ""height"": 220.7, ""depth"": 17}"
"AirPods Pro 2nd Gen","Adaptive Audio and personalized spatial audio","Premium wireless earbuds",249.99,279.99,"APPLE-APRO2-USB-052",50,"","","{https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?w=500}","{Adaptive Audio,Personalized Spatial Audio,MagSafe charging,Up to 6hrs listening}","{""battery"": ""6 hours + 24 with case"", ""connectivity"": ""Bluetooth 5.3"", ""charging"": ""MagSafe + Lightning"", ""features"": ""Active Noise Cancellation""}",true,true,0.0056,"{""width"": 21.8, ""height"": 24, ""depth"": 18.5}"
"Nintendo Switch OLED","Enhanced gaming console with OLED screen","Portable gaming console with OLED display",349.99,359.99,"NINTENDO-SW-OLED-053",25,"","","{https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=500}","{7-inch OLED screen,Enhanced audio,Wide adjustable stand,64GB internal storage}","{""display"": ""7 inch OLED"", ""storage"": ""64GB"", ""battery"": ""4.5-9 hours"", ""resolution"": ""1280x720""}",true,true,0.42,"{""width"": 242, ""height"": 102, ""depth"": 13.9}"
"Sony A7 IV Camera","Full-frame mirrorless camera for professionals","Professional mirrorless camera",2499.99,2599.99,"SONY-A7IV-BODY-054",5,"","","{https://images.unsplash.com/photo-1606983340126-99ab4feaa64a?w=500}","{33MP full-frame sensor,4K 60p video,693 phase-detect AF,5-axis stabilization}","{""sensor"": ""33MP full-frame"", ""video"": ""4K 60p"", ""autofocus"": ""693 points"", ""stabilization"": ""5-axis""}",true,false,0.658,"{""width"": 131.3, ""height"": 96.4, ""depth"": 79.8}"
"Bose QuietComfort 45","Comfortable noise-canceling headphones","Comfortable over-ear headphones",329.99,379.99,"BOSE-QC45-BK-055",30,"","","{https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500}","{World-class noise cancellation,24-hour battery,Comfortable design,EQ adjustable}","{""battery"": ""24 hours"", ""connectivity"": ""Bluetooth 5.1"", ""weight"": ""238g"", ""controls"": ""Touch and button""}",true,false,0.238,"{""width"": 180, ""height"": 155, ""depth"": 73}"
"Dyson V15 Detect","Advanced cordless vacuum with laser detection","High-performance cordless vacuum",749.99,799.99,"DYSON-V15-DETECT-056",15,"","","{https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500}","{Laser dust detection,60 minutes runtime,LCD screen,Advanced filtration}","{""runtime"": ""60 minutes"", ""bin_capacity"": ""0.77L"", ""weight"": ""3.1kg"", ""filtration"": ""HEPA""}",true,true,3.1,"{""width"": 1233, ""height"": 250, ""depth"": 156}"
"Tesla Model Y Phone Mount","Premium phone mount for Tesla vehicles","Tesla-specific phone mount",89.99,99.99,"TESLA-MOUNT-MY-057",100,"","","{https://images.unsplash.com/photo-1581833971358-2c8b550f87b3?w=500}","{Tesla Model Y specific,Wireless charging,Premium materials,Easy installation}","{""compatibility"": ""Tesla Model Y"", ""charging"": ""Wireless 15W"", ""material"": ""Aluminum"", ""installation"": ""No tools required""}",true,false,0.3,"{""width"": 120, ""height"": 80, ""depth"": 25}"
"LG UltraWide Monitor 34","Curved ultrawide monitor for productivity","34-inch curved ultrawide monitor",599.99,699.99,"LG-34WK95U-W-058",12,"","","{https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500}","{34-inch curved display,QHD resolution,USB-C connectivity,HDR10 support}","{""screen_size"": ""34 inch"", ""resolution"": ""3440x1440"", ""curvature"": ""1900R"", ""refresh_rate"": ""75Hz""}",true,false,7.8,"{""width"": 819.5, ""height"": 471.4, ""depth"": 260.1}"
"Roku Ultra 4K","4K/HDR streaming device with voice remote","Premium 4K streaming device",99.99,109.99,"ROKU-ULTRA-4K-059",45,"","","{https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=500}","{4K/HDR/Dolby Vision,Voice Remote Pro,Lost remote finder,Ethernet connection}","{""resolution"": ""4K HDR"", ""connectivity"": ""Wi-Fi 6 + Ethernet"", ""remote"": ""Voice Remote Pro"", ""storage"": ""Internal + microSD""}",true,false,0.13,"{""width"": 101.6, ""height"": 101.6, ""depth"": 21.6}"
"Fitbit Charge 6","Advanced fitness tracker with GPS","Comprehensive fitness tracking",159.99,179.99,"FITBIT-C6-BK-060",60,"","","{https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=500}","{Built-in GPS,Heart rate monitoring,7-day battery,Water resistant}","{""battery"": ""7 days"", ""gps"": ""Built-in"", ""water_resistance"": ""50m"", ""sensors"": ""Heart rate, SpO2, stress""}",true,false,0.029,"{""width"": 22.7, ""height"": 35.8, ""depth"": 11.2}"